Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1627     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, session_value>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract()
  0.00      0.00     0.00     1627     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Select1st, true>::_S_get(std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Select1st, true>&)
  0.00      0.00     0.00     1621     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      0.00     0.00     1620     0.00     0.00  IpsSession::addSession(packet_t*)
  0.00      0.00     0.00     1620     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >::deallocate(std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*, unsigned long)
  0.00      0.00     0.00     1620     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >::destroy<std::pair<unsigned int const, session_value> >(std::pair<unsigned int const, session_value>*)
  0.00      0.00     0.00     1620     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00     1620     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >::construct<std::pair<unsigned int const, session_value>, std::pair<unsigned int, session_value> >(std::pair<unsigned int const, session_value>*, std::pair<unsigned int, session_value>&&)
  0.00      0.00     0.00     1620     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false> >::max_size() const
  0.00      0.00     0.00     1620     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, session_value>, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node<std::pair<unsigned int const, session_value>, false>*, unsigned long) const
  0.00      0.00     0.00     1620     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_state() const
  0.00      0.00     0.00     1620     0.00     0.00  std::pair<std::__detail::_Node_iterator<std::pair<unsigned int const, session_value>, false, false>, bool> std::_Hashtable<unsigned int, std::pair<unsigned int const, session_value>, std::allocator<std::pair<unsigned int const, session_value> >, std::__detail::_Select1st, std::equal_to<unsigned int>, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_emplace<std::pair<unsigned int, session_value> >(std::integral_constant<bool, true>, std::pair<unsigned int, session_value>&&)
